                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.67665,                0.33393,                0.99837,                0.88005,                0.82335,                0.87242,                0.57648,                 1.0453,                0.47344,                  1.327,               0.001981,               0.001981,               0.001981
                     84,                0.67174,                0.32957,                0.99276,                0.87906,                0.82418,                0.87238,                0.57624,                 1.0454,                0.47386,                 1.3279,               0.001882,               0.001882,               0.001882
                     85,                0.66997,                0.32941,                0.99321,                0.87931,                0.82488,                0.87238,                0.57681,                 1.0457,                0.47498,                 1.3296,               0.001783,               0.001783,               0.001783
                     86,                0.66008,                0.32354,                0.98355,                0.88031,                 0.8243,                0.87249,                0.57694,                 1.0463,                0.47521,                 1.3308,               0.001684,               0.001684,               0.001684
                     87,                0.65603,                0.32386,                0.98408,                0.88378,                0.82104,                0.87227,                0.57693,                 1.0468,                0.47611,                 1.3313,               0.001585,               0.001585,               0.001585
                     88,                0.65306,                0.32239,                0.97895,                0.88334,                0.82083,                0.87252,                0.57717,                 1.0474,                0.47607,                 1.3321,               0.001486,               0.001486,               0.001486
                     89,                0.64609,                0.31686,                0.97726,                0.88344,                0.82083,                0.87244,                0.57706,                 1.0474,                 0.4778,                 1.3325,               0.001387,               0.001387,               0.001387
                     90,                0.64052,                0.31468,                0.97551,                0.88369,                0.82067,                 0.8722,                0.57698,                 1.0478,                0.47845,                 1.3332,               0.001288,               0.001288,               0.001288
                     91,                0.59816,                0.25798,                0.95267,                0.88528,                0.82034,                0.87215,                0.57743,                 1.0485,                0.47918,                 1.3341,               0.001189,               0.001189,               0.001189
                     92,                0.58799,                0.25365,                0.95301,                0.88473,                0.82057,                0.87245,                0.57792,                 1.0486,                 0.4807,                 1.3351,                0.00109,                0.00109,                0.00109
                     93,                0.58288,                0.25356,                0.95435,                0.88439,                0.82043,                0.87204,                0.57778,                 1.0492,                0.48166,                 1.3368,               0.000991,               0.000991,               0.000991
                     94,                0.57407,                0.25063,                 0.9499,                0.88498,                0.82034,                0.87213,                0.57818,                 1.0496,                0.48225,                 1.3385,               0.000892,               0.000892,               0.000892
                     95,                0.56868,                0.24817,                0.94444,                0.88589,                0.81842,                0.87235,                0.57838,                 1.0499,                 0.4831,                 1.3401,               0.000793,               0.000793,               0.000793
                     96,                 0.5603,                0.24405,                0.93818,                0.88639,                0.81865,                0.87191,                 0.5781,                 1.0504,                0.48344,                 1.3419,               0.000694,               0.000694,               0.000694
                     97,                0.55279,                0.24078,                0.93612,                0.88525,                0.81928,                0.87214,                0.57849,                 1.0507,                0.48413,                 1.3437,               0.000595,               0.000595,               0.000595
