                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.69544,                0.34017,                 1.0027,                0.86291,                0.83841,                0.87257,                0.57689,                 1.0694,                0.51539,                 1.3669,               0.002377,               0.002377,               0.002377
                     80,                 0.6894,                0.33604,                0.99644,                0.86173,                0.83871,                0.87245,                 0.5772,                 1.0698,                0.51565,                 1.3678,               0.002278,               0.002278,               0.002278
                     81,                 0.6807,                0.33284,                 0.9922,                0.86119,                0.83819,                0.87171,                0.57712,                 1.0701,                0.51562,                 1.3686,               0.002179,               0.002179,               0.002179
                     82,                0.68075,                0.33383,                0.99496,                 0.8649,                0.83454,                0.87188,                 0.5765,                 1.0704,                0.51594,                 1.3698,                0.00208,                0.00208,                0.00208
                     83,                0.67049,                0.33024,                0.99235,                0.86433,                0.83271,                0.87116,                0.57638,                 1.0708,                0.51645,                  1.371,               0.001981,               0.001981,               0.001981
                     84,                0.66526,                0.32564,                0.98773,                0.86397,                0.83293,                0.86993,                 0.5757,                 1.0714,                0.51716,                 1.3722,               0.001882,               0.001882,               0.001882
                     85,                0.66678,                0.32585,                0.98972,                0.86354,                0.83255,                0.87047,                0.57525,                 1.0715,                0.51736,                  1.373,               0.001783,               0.001783,               0.001783
                     86,                0.66263,                0.32339,                 0.9884,                0.86319,                0.83395,                0.87019,                0.57538,                 1.0716,                0.51788,                  1.374,               0.001684,               0.001684,               0.001684
                     87,                0.65337,                0.31977,                0.98521,                 0.8624,                 0.8345,                0.87067,                0.57545,                 1.0719,                0.51881,                 1.3753,               0.001585,               0.001585,               0.001585
                     88,                0.64468,                0.31719,                0.97614,                0.86081,                 0.8323,                0.86953,                0.57604,                 1.0725,                0.51901,                 1.3762,               0.001486,               0.001486,               0.001486
                     89,                0.64408,                0.31627,                0.98002,                0.86065,                0.83242,                 0.8699,                 0.5763,                 1.0726,                0.51919,                 1.3773,               0.001387,               0.001387,               0.001387
